reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2026-08-24,2026-08-30,35,新型冠状病毒,15.8,6.8
2026-08-17,2026-08-23,34,新型冠状病毒,19.5,7.3
2026-08-10,2026-08-16,33,新型冠状病毒,21.2,9.1
2026-08-03,2026-08-09,32,新型冠状病毒,21.1,8.6
2026-07-27,2026-08-02,31,新型冠状病毒,22.3,8.2
2026-07-20,2026-07-26,30,新型冠状病毒,20.3,9.5
2026-07-13,2026-07-19,29,新型冠状病毒,16.3,5.9
2026-07-06,2026-07-12,28,新型冠状病毒,11.9,6.9
2026-06-29,2026-07-05,27,新型冠状病毒,9.6,4.3
2026-06-22,2026-06-28,26,新型冠状病毒,7.4,2.9
2026-06-15,2026-06-21,25,新型冠状病毒,6.7,2.7
2026-06-08,2026-06-14,24,新型冠状病毒,5.1,1.5
2026-06-01,2026-06-07,23,新型冠状病毒,3.6,1.4
2026-05-25,2026-05-31,22,新型冠状病毒,2.1,1.1
2026-05-18,2026-05-24,21,新型冠状病毒,1.5,0.9
2026-05-11,2026-05-17,20,新型冠状病毒,1.7,0.7
2026-05-04,2026-05-10,19,新型冠状病毒,1.4,0.6
2026-04-27,2026-05-03,18,新型冠状病毒,1.5,0.6
2026-04-20,2026-04-26,17,新型冠状病毒,1.3,0.7
2026-04-13,2026-04-19,16,新型冠状病毒,1.3,0.8
2026-04-06,2026-04-12,15,新型冠状病毒,1.8,0.3
2026-03-30,2026-04-05,14,新型冠状病毒,2.0,0.9
2026-03-23,2026-03-29,13,新型冠状病毒,2.4,1.3
2026-03-16,2026-03-22,12,新型冠状病毒,2.7,1.1
2026-03-09,2026-03-15,11,新型冠状病毒,2.3,1.3
2026-03-02,2026-03-08,10,新型冠状病毒,2.6,1.0
2026-02-23,2026-03-01,9,新型冠状病毒,2.3,1.4
2026-02-16,2026-02-22,8,新型冠状病毒,1.3,1.5
2026-02-09,2026-02-15,7,新型冠状病毒,1.7,1.1
2026-02-02,2026-02-08,6,新型冠状病毒,2.2,1.7
2026-01-26,2026-02-01,5,新型冠状病毒,2.3,1.8
2026-01-19,2026-01-25,4,新型冠状病毒,1.5,1.2
2026-01-12,2026-01-18,3,新型冠状病毒,0.9,1.0
2026-01-05,2026-01-11,2,新型冠状病毒,1.1,1.0
2025-12-29,2026-01-04,1,新型冠状病毒,1.1,1.2
2025-12-22,2025-12-28,52,新型冠状病毒,0.7,1.3
2025-12-15,2025-12-21,51,新型冠状病毒,0.7,0.5
2025-12-08,2025-12-14,50,新型冠状病毒,0.5,0.9
2025-12-01,2025-12-07,49,新型冠状病毒,0.3,0.7
2025-11-24,2025-11-30,48,新型冠状病毒,0.6,1.0
2025-11-17,2025-11-23,47,新型冠状病毒,0.6,1.1
2025-11-10,2025-11-16,46,新型冠状病毒,0.5,1.2
2025-11-03,2025-11-09,45,新型冠状病毒,1.1,0.7
2025-10-27,2025-11-02,44,新型冠状病毒,1.4,1.0
2025-10-20,2025-10-26,43,新型冠状病毒,1.5,0.9
2025-10-13,2025-10-19,42,新型冠状病毒,1.8,1.0
2025-10-06,2025-10-12,41,新型冠状病毒,2.3,1.4
2025-09-29,2025-10-05,40,新型冠状病毒,3.2,2.1
2025-09-22,2025-09-28,39,新型冠状病毒,3.6,1.9
2025-09-15,2025-09-21,38,新型冠状病毒,5.3,2.8
2025-09-08,2025-09-14,37,新型冠状病毒,6.8,3.3
2025-09-01,2025-09-07,36,新型冠状病毒,6.8,3.7
2025-08-25,2025-08-31,35,新型冠状病毒,8.5,4.3
2025-08-18,2025-08-24,34,新型冠状病毒,10.5,4.3
2025-08-11,2025-08-17,33,新型冠状病毒,11.9,5.6
2025-08-04,2025-08-10,32,新型冠状病毒,10.8,4.4
2025-07-28,2025-08-03,31,新型冠状病毒,13.6,4.4
2025-07-21,2025-07-27,30,新型冠状病毒,13.5,4.3
2025-07-14,2025-07-20,29,新型冠状病毒,14.0,5.1
