reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent,source
2025-03-31,2025-04-06,14,新型冠状病毒,7.5,3.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,流感病毒,4.2,2.7,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,呼吸道合胞病毒,3.8,5.7,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,腺病毒,1.8,1.8,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,人偏肺病毒,5.0,3.9,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,副流感病毒,3.6,2.6,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,普通冠状病毒,3.1,3.0,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,博卡病毒,0.3,0.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,鼻病毒,8.9,6.9,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,肠道病毒,1.1,1.5,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-03-31,2025-04-06,14,肺炎支原体,0.6,1.8,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,新型冠状病毒,8.8,3.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,流感病毒,2.8,2.0,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,呼吸道合胞病毒,3.8,5.9,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,腺病毒,2.0,1.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,人偏肺病毒,4.0,4.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,副流感病毒,3.5,2.7,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,普通冠状病毒,2.0,1.4,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,博卡病毒,0.3,0.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,鼻病毒,9.5,6.9,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,肠道病毒,1.6,1.0,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-07,2025-04-13,15,肺炎支原体,0.4,2.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,新型冠状病毒,11.1,3.7,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,流感病毒,2.5,1.6,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,呼吸道合胞病毒,3.8,5.6,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,腺病毒,2.2,2.1,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,人偏肺病毒,3.4,3.4,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,副流感病毒,4.4,3.6,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,普通冠状病毒,1.5,1.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,博卡病毒,0.4,0.7,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,鼻病毒,9.1,8.8,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,肠道病毒,2.0,1.5,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-14,2025-04-20,16,肺炎支原体,0.5,1.9,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,新型冠状病毒,13.4,5.5,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,流感病毒,2.4,1.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,呼吸道合胞病毒,3.3,6.8,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,腺病毒,2.4,1.8,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,人偏肺病毒,2.5,2.5,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,副流感病毒,4.0,3.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,普通冠状病毒,1.8,1.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,博卡病毒,0.3,0.5,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,鼻病毒,9.9,11.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,肠道病毒,1.9,1.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-21,2025-04-27,17,肺炎支原体,0.3,1.4,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,新型冠状病毒,16.2,6.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,流感病毒,2.0,1.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,呼吸道合胞病毒,2.9,4.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,腺病毒,2.7,1.0,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,人偏肺病毒,2.2,1.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,副流感病毒,3.5,2.7,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,普通冠状病毒,1.9,1.3,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,博卡病毒,0.4,0.9,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,鼻病毒,9.4,9.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,肠道病毒,2.9,2.2,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-04-28,2025-05-04,18,肺炎支原体,0.3,1.0,https://www.chinacdc.cn/jksj/jksj04_14275/202505/t20250508_306641.html
2025-05-05,2025-05-11,19,新型冠状病毒,19.4,7.1,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,流感病毒,2.2,1.4,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,呼吸道合胞病毒,3.1,4.5,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,腺病毒,2.6,2.8,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,人偏肺病毒,1.6,1.4,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,副流感病毒,3.3,3.9,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,普通冠状病毒,1.9,1.1,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,博卡病毒,0.7,0.7,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,鼻病毒,9.5,8.6,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,肠道病毒,3.2,0.9,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-05,2025-05-11,19,肺炎支原体,0.3,2.1,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,新型冠状病毒,20.6,9.5,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,流感病毒,2.1,1.0,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,呼吸道合胞病毒,2.6,3.8,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,腺病毒,2.2,1.6,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,人偏肺病毒,1.3,1.1,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,副流感病毒,3.3,2.8,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,普通冠状病毒,1.1,1.3,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,博卡病毒,0.6,0.5,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,鼻病毒,7.9,8.9,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,肠道病毒,3.3,1.7,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-12,2025-05-18,20,肺炎支原体,0.2,1.8,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,新型冠状病毒,24.5,11.5,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,流感病毒,1.6,0.8,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,呼吸道合胞病毒,2.0,3.9,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,腺病毒,2.2,1.9,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,人偏肺病毒,0.5,1.7,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,副流感病毒,3.2,3.7,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,普通冠状病毒,1.3,1.2,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,博卡病毒,0.4,0.7,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,鼻病毒,8.4,7.9,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,肠道病毒,3.9,2.1,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-19,2025-05-25,21,肺炎支原体,0.2,1.3,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,新型冠状病毒,23.8,10.8,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,流感病毒,1.5,0.8,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,呼吸道合胞病毒,2.1,2.6,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,腺病毒,2.7,1.6,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,人偏肺病毒,1.0,0.8,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,副流感病毒,3.1,2.9,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,普通冠状病毒,1.2,1.2,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,博卡病毒,0.3,1.5,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,鼻病毒,8.7,7.2,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,肠道病毒,5.0,2.6,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-05-26,2025-06-01,22,肺炎支原体,0.1,1.2,https://www.chinacdc.cn/jksj/jksj04_14275/202506/t20250605_307352.html
2025-08-25,2025-08-31,35,鼻病毒,4.3,3.4,https://www.chinacdc.cn/jksj/jksj04_14275/202509/t20250904_310175.html
2025-08-25,2025-08-31,35,肠道病毒,3.2,0.8,https://www.chinacdc.cn/jksj/jksj04_14275/202509/t20250904_310175.html
2025-08-25,2025-08-31,35,肺炎支原体,0.4,1.3,https://www.chinacdc.cn/jksj/jksj04_14275/202509/t20250904_310175.html
2025-09-01,2025-09-07,36,鼻病毒,4.2,3.4,https://www.chinacdc.cn/jksj/jksj04_14275/202509/t20250911_310365.html
2025-09-01,2025-09-07,36,肠道病毒,2.8,1.4,https://www.chinacdc.cn/jksj/jksj04_14275/202509/t20250911_310365.html
2025-09-01,2025-09-07,36,肺炎支原体,0.4,0.8,https://www.chinacdc.cn/jksj/jksj04_14275/202509/t20250911_310365.html
