reference_date,target_end_date,year,week,week_start,lineage,share,sequences,month,source_url
2024-06-03,2024-06-09,2024,23,2024-06-03,其他,2.4,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-03,2024-06-09,2024,23,2024-06-03,JN.1及其亚分支,72.5,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-03,2024-06-09,2024,23,2024-06-03,XDV及其亚分支,25.1,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-10,2024-06-16,2024,24,2024-06-10,其他,2.6,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-10,2024-06-16,2024,24,2024-06-10,JN.1及其亚分支,66.4,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-10,2024-06-16,2024,24,2024-06-10,XDV及其亚分支,31,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-17,2024-06-23,2024,25,2024-06-17,其他,2.5,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-17,2024-06-23,2024,25,2024-06-17,JN.1及其亚分支,64.6,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-17,2024-06-23,2024,25,2024-06-17,XDV及其亚分支,32.9,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-24,2024-06-30,2024,26,2024-06-24,其他,1.1,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-24,2024-06-30,2024,26,2024-06-24,JN.1及其亚分支,67.5,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-06-24,2024-06-30,2024,26,2024-06-24,XDV及其亚分支,31.4,6275,2024-06,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295730.html
2024-07-01,2024-07-07,2024,27,2024-07-01,其他,0.6,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-01,2024-07-07,2024,27,2024-07-01,JN.1及其亚分支,60.6,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-01,2024-07-07,2024,27,2024-07-01,XDV及其亚分支,38.8,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-08,2024-07-14,2024,28,2024-07-08,其他,1.3,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-08,2024-07-14,2024,28,2024-07-08,JN.1及其亚分支,58.3,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-08,2024-07-14,2024,28,2024-07-08,XDV及其亚分支,40.4,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-15,2024-07-21,2024,29,2024-07-15,其他,1.2,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-15,2024-07-21,2024,29,2024-07-15,JN.1及其亚分支,55.2,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-15,2024-07-21,2024,29,2024-07-15,XDV及其亚分支,43.6,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-22,2024-07-28,2024,30,2024-07-22,其他,0.5,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-22,2024-07-28,2024,30,2024-07-22,JN.1及其亚分支,56.1,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-07-22,2024-07-28,2024,30,2024-07-22,XDV及其亚分支,43.4,7042,2024-07,https://www.chinacdc.cn/jksj/xgbdyq/202408/t20240827_295731.html
2024-08-05,2024-08-11,2024,32,2024-08-05,其他,0.6,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-05,2024-08-11,2024,32,2024-08-05,JN.1及其亚分支,52.4,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-05,2024-08-11,2024,32,2024-08-05,XDV及其亚分支,47,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-12,2024-08-18,2024,33,2024-08-12,其他,0.5,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-12,2024-08-18,2024,33,2024-08-12,JN.1及其亚分支,51.1,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-12,2024-08-18,2024,33,2024-08-12,XDV及其亚分支,48.4,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-19,2024-08-25,2024,34,2024-08-19,其他,0.5,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-19,2024-08-25,2024,34,2024-08-19,JN.1及其亚分支,53.2,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-19,2024-08-25,2024,34,2024-08-19,XDV及其亚分支,46.3,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-26,2024-09-01,2024,35,2024-08-26,JN.1及其亚分支,50.9,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-08-26,2024-09-01,2024,35,2024-08-26,XDV及其亚分支,49.1,12606,2024-08,https://www.chinacdc.cn/jksj/xgbdyq/202409/t20240912_299501.html
2024-09-02,2024-09-08,2024,36,2024-09-02,其他,0.4,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-02,2024-09-08,2024,36,2024-09-02,JN.1及其亚分支,51.7,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-02,2024-09-08,2024,36,2024-09-02,XDV及其亚分支,47.9,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-09,2024-09-15,2024,37,2024-09-09,JN.1及其亚分支,53.2,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-09,2024-09-15,2024,37,2024-09-09,XDV及其亚分支,46.6,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-16,2024-09-22,2024,38,2024-09-16,其他,0.3,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-16,2024-09-22,2024,38,2024-09-16,JN.1及其亚分支,51.1,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-16,2024-09-22,2024,38,2024-09-16,XDV及其亚分支,48.6,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-23,2024-09-29,2024,39,2024-09-23,其他,0.3,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-23,2024-09-29,2024,39,2024-09-23,JN.1及其亚分支,52.5,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-23,2024-09-29,2024,39,2024-09-23,XDV及其亚分支,47.2,10777,2024-09,https://www.chinacdc.cn/jksj/xgbdyq/202410/t20241015_301483.html
2024-09-30,2024-10-06,2024,40,2024-09-30,其他,1.2,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-09-30,2024-10-06,2024,40,2024-09-30,JN.1及其亚分支,48.3,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-09-30,2024-10-06,2024,40,2024-09-30,XDV及其亚分支,50.5,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-07,2024-10-13,2024,41,2024-10-07,其他,1.7,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-07,2024-10-13,2024,41,2024-10-07,JN.1及其亚分支,47.3,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-07,2024-10-13,2024,41,2024-10-07,XDV及其亚分支,51,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-14,2024-10-20,2024,42,2024-10-14,其他,0.5,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-14,2024-10-20,2024,42,2024-10-14,JN.1及其亚分支,44.4,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-14,2024-10-20,2024,42,2024-10-14,XDV及其亚分支,55.1,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-21,2024-10-27,2024,43,2024-10-21,其他,1.8,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-21,2024-10-27,2024,43,2024-10-21,JN.1及其亚分支,41.3,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-21,2024-10-27,2024,43,2024-10-21,XDV及其亚分支,56.9,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-28,2024-11-03,2024,44,2024-10-28,JN.1及其亚分支,41.7,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-10-28,2024-11-03,2024,44,2024-10-28,XDV及其亚分支,58.3,4545,2024-10,https://www.chinacdc.cn/jksj/xgbdyq/202411/t20241111_302498.html
2024-11-04,2024-11-10,2024,45,2024-11-04,其他,2.3,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-04,2024-11-10,2024,45,2024-11-04,JN.1及其亚分支,39.8,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-04,2024-11-10,2024,45,2024-11-04,XDV及其亚分支,57.9,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-11,2024-11-17,2024,46,2024-11-11,其他,2.9,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-11,2024-11-17,2024,46,2024-11-11,JN.1及其亚分支,40.8,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-11,2024-11-17,2024,46,2024-11-11,XDV及其亚分支,56.3,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-18,2024-11-24,2024,47,2024-11-18,其他,3.4,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-18,2024-11-24,2024,47,2024-11-18,JN.1及其亚分支,43.8,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-18,2024-11-24,2024,47,2024-11-18,XDV及其亚分支,52.8,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-25,2024-12-01,2024,48,2024-11-25,JN.1及其亚分支,32.5,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-11-25,2024-12-01,2024,48,2024-11-25,XDV及其亚分支,67.5,2948,2024-11,https://www.chinacdc.cn/jksj/xgbdyq/202412/t20241211_303251.html
2024-12-02,2024-12-08,2024,49,2024-12-02,其他,6.2,3836,2024-12,https://www.chinacdc.cn/jksj/xgbdyq/202501/t20250107_303736.html
2024-12-02,2024-12-08,2024,49,2024-12-02,JN.1及其亚分支,31.5,3836,2024-12,https://www.chinacdc.cn/jksj/xgbdyq/202501/t20250107_303736.html
2024-12-02,2024-12-08,2024,49,2024-12-02,XDV及其亚分支,62.3,3836,2024-12,https://www.chinacdc.cn/jksj/xgbdyq/202501/t20250107_303736.html
2024-12-09,2024-12-15,2024,50,2024-12-09,其他,5.4,3836,2024-12,https://www.chinacdc.cn/jksj/xgbdyq/202501/t20250107_303736.html
2024-12-09,2024-12-15,2024,50,2024-12-09,JN.1及其亚分支,30.3,3836,2024-12,https://www.chinacdc.cn/jksj/xgbdyq/202501/t20250107_303736.html
2024-12-09,2024-12-15,2024,50,2024-12-09,XDV及其亚分支,64.3,3836,2024-12,https://www.chinacdc.cn/jksj/xgbdyq/202501/t20250107_303736.html
2024-12-16,2024-12-22,2024,51,2024-12-16,其他,4.4,3836,2024-12,https://www.chinacdc.cn/jksj/xgbdyq/202501/t20250107_303736.html
2024-12-16,2024-12-22,2024,51,2024-12-16,JN.1及其亚分支,35.9,3836,2024-12,https://www.chinacdc.cn/jksj/xgbdyq/202501/t20250107_303736.html
