reference_date,target_end_date,month,report_date,disease,disease_class,row_kind,cases,deaths,source_url
2024-01-01,2024-01-31,2024-01,2024-02-19,艾滋病,乙类,disease,3194,1730,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,白喉,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,百日咳,乙类,disease,15275,5,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,包虫病,丙类,disease,438,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,丙类传染病合计,丙类,summary,3110178,3,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,丙型肝炎,乙类,disease,18610,23,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,病毒性肝炎,乙类,group,159136,53,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,布鲁氏菌病,乙类,disease,4207,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,传染性非典型肺炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,登革热,乙类,disease,27,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,丁型肝炎,乙类,disease,25,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,肺结核,乙类,disease,60660,383,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,风疹,丙类,disease,45,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,钩端螺旋体病,乙类,disease,19,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,黑热病,丙类,disease,33,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,猴痘,乙类,disease,97,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,霍乱,甲类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,急性出血性结膜炎,丙类,disease,3039,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,脊髓灰质炎,乙类,disease,0,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,甲型肝炎,乙类,disease,1002,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,甲乙丙类总计,甲乙丙类,summary,3427657,2198,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,甲乙类传染病合计,甲乙类,summary,317479,2195,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,狂犬病,乙类,disease,15,11,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,淋病,乙类,disease,9112,1,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,流行性出血热,乙类,disease,511,1,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,流行性感冒,丙类,disease,2988914,3,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,流行性和地方性斑疹伤寒,丙类,disease,68,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,流行性脑脊髓膜炎,乙类,disease,17,1,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,流行性腮腺炎,丙类,disease,5272,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,流行性乙型脑炎,乙类,disease,3,1,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
2024-01-01,2024-01-31,2024-01,2024-02-19,麻风病,丙类,disease,24,0,https://www.chinacdc.cn/jksj/jksj01/202407/t20240726_287154.html
