reference_date,target_end_date,report_week,pathogen,ili_percent,sari_percent
2025-07-14,2025-07-20,29,鼻病毒,5.4,4.5
2025-07-14,2025-07-20,29,博卡病毒,1.3,2.0
2025-07-14,2025-07-20,29,肠道病毒,7.4,2.7
2025-07-14,2025-07-20,29,肺炎支原体,0.5,1.4
2025-07-14,2025-07-20,29,副流感病毒,4.7,5.0
2025-07-14,2025-07-20,29,呼吸道合胞病毒,4.3,5.5
2025-07-14,2025-07-20,29,流感病毒,2.4,0.6
2025-07-14,2025-07-20,29,普通冠状病毒,2.0,1.1
2025-07-14,2025-07-20,29,人偏肺病毒,0.3,0.5
2025-07-14,2025-07-20,29,腺病毒,2.4,1.5
2025-07-14,2025-07-20,29,新型冠状病毒,14.0,5.1
